"spec","Osobní nálezy","ČBFS","Bryonora (M)","ČNFD","NDOP","total","RL_eval"
"Lophocolea minor",0,9,0,20,77,106,"LC"
"Bazzania tricrenata",0,20,2,0,83,105,"NT"
"Physcomitrium",0,1,0,90,14,105,""
"Riccia huebeneriana",0,0,5,58,42,105,"EN"
"Sphagnum affine",0,31,2,46,26,105,"VU"
"Bryum boreale",0,58,0,2,43,103,"LC"
"Calypogeia sphagnicola",0,5,0,32,66,103,"NT"
"Weissia",0,8,0,72,23,103,""
"Hygrohypnum luridum",0,14,0,36,52,102,"LC"
"Trilophozia quinquedentata",0,11,0,11,79,101,"LC"
"Grimmia",0,0,0,75,25,100,""
"Grimmia muehlenbeckii",0,35,0,0,65,100,"LC"
"Orthotrichum",0,4,0,9,87,100,""
"Antitrichia curtipendula",0,29,5,2,63,99,"LC-att"
"Dicranum spurium",0,7,0,48,44,99,"LC-att"
"Ptilidium",0,0,0,10,89,99,""
"Bryum pallens",0,14,0,22,62,98,"LC"
"Dicranum flexicaule",0,49,0,12,37,98,"LC"
"Kiaeria blyttii",0,32,0,14,52,98,"LC"
"Mnium marginatum",0,8,0,26,64,98,"LC"
"Solenostoma obovatum",0,25,0,9,64,98,"LC"
"Anastrophyllum michauxii",0,4,6,0,87,97,"EN"
"Calliergonella lindbergii",0,5,0,28,64,97,"LC"
"Hylocomium",0,0,0,19,77,96,""
"Campylium protensum",0,30,0,11,54,95,"LC-att"
"Herzogiella striatella",0,55,0,4,36,95,"NT"
"Tortella squarrosa",0,3,0,63,29,95,"NT"
"Amblystegium",0,0,0,49,45,94,""
"Eurhynchiastrum pulchellum",0,9,0,38,47,94,"LC-att"
"Pedinophyllum interruptum",0,4,0,18,71,93,"LC-att"
"Solenostoma gracillimum",0,14,0,0,79,93,"LC"
"Riccia glauca",0,7,0,25,60,92,"LC"
"Syntrichia ruralis var. ruralis",0,0,0,0,92,92,"LC"
"Plagiothecium platyphyllum",0,9,0,26,54,89,"LC-att"
"Hymenoloma crispulum",0,15,0,11,62,88,"LC"
"Pleuridium subulatum",0,8,0,38,41,87,"LC"
"Schistidium dupretii",0,28,0,0,58,86,"LC"
"Fontinalis squamosa",0,2,0,13,70,85,"LC"
"Sphagnum platyphyllum",0,8,2,24,51,85,"CR"
"Physcomitrella patens",0,1,1,48,34,84,"LC-att"
"Tortula",0,0,0,75,9,84,""
"Solenostoma hyalinum",0,11,0,4,67,82,"NT"
"Bartramia ithyphylla",0,14,0,9,58,81,"LC-att"
"Hygroamblystegium tenax",0,5,0,18,58,81,"LC-att"
"Tritomaria exsecta",0,14,1,1,65,81,"LC"
"Hygroamblystegium fluviatile",0,5,0,3,72,80,"LC"
"Lewinskya striata",0,6,2,0,72,80,"LC-att"
"Philonotis calcarea",0,7,0,44,29,80,"LC-att"
"Riccia ciliifera",0,1,0,26,53,80,"NT"
"Distichium capillaceum",0,18,0,20,41,79,"LC"
"Fissidens",0,0,0,40,39,79,""
"Diphyscium foliosum",0,9,2,15,52,78,"LC-att"
"Elodium blandowii",0,13,6,12,47,78,"EN"
"Grimmia ramondii",0,44,0,0,34,78,"LC-att"
"Hylocomiastrum umbratum",0,11,0,7,60,78,"LC-att"
"Lophozia ascendens",0,10,6,0,62,78,"EN"
"Phaeoceros carolinianus",0,6,0,6,66,78,"LC"
"Pterygoneurum ovatum",0,18,0,22,38,78,"LC"
"Pulvigera lyellii",0,16,0,0,62,78,"LC-att"
"Tortella pseudofragilis",0,21,0,2,55,78,"LC"
"Alleniella besseri",0,7,0,5,65,77,"LC"
"Riccia ciliata",0,1,13,2,61,77,"NT"
"Abietinella abietina var. abietina",0,0,0,0,76,76,"LC"
"Racomitrium macounii subsp. alpinum",0,49,0,0,27,76,"LC"
"Scapania mucronata",0,4,0,0,72,76,"DD"
"Tortula lindbergii",0,9,0,17,50,76,"LC"
"Weissia brachycarpa",0,12,0,21,42,75,"LC"
"Brachydontium trichodes",0,22,0,0,52,74,"LC-att"
"Dicranella varia",0,10,0,12,52,74,"LC"
"Dicranodontium asperulum",0,11,0,1,61,73,"NT"
"Lophozia silvicola",0,30,0,0,43,73,"LC-att"
"Plasteurhynchium striatulum",0,4,0,8,61,73,"LC-att"
"Sarmentypnum sarmentosum",0,8,0,40,25,73,"NT"
"Oxymitra incrassata",0,4,2,9,57,72,"EN"
"Pohlia elongata var. elongata",0,0,0,0,72,72,"LC-att"
"Reboulia hemisphaerica",0,4,0,9,59,72,"NT"
"Coscinodon cribrosus",0,25,0,4,42,71,"LC"
"Physcomitrium sphaericum",0,4,4,58,5,71,"VU"
"Bryum klinggraeffii",0,5,0,8,57,70,"LC"
"Campylophyllopsis calcarea",0,18,0,9,43,70,"LC-att"
"Fontinalis",0,0,0,0,70,70,""
"Orthothecium intricatum",0,17,0,16,37,70,"LC"
"Weissia condensa",0,15,0,19,36,70,"LC"
"Tortula caucasica",0,11,0,24,34,69,"LC"
"Scapania paludicola",0,12,3,19,34,68,"VU"
"Schistidium",0,6,0,17,45,68,""
"Schistidium papillosum",0,38,0,0,30,68,"LC"
